MolLogP,MolWt,NumRotatableBonds,AromaticProportion,logS
2.5954,167.85,0,0,-2.18
2.3765,133.405,0,0,-2
2.5938,167.85,1,0,-1.74
2.0289,133.405,1,0,-1.48
2.9189,187.375,1,0,-3.04
1.81,98.96,0,0,-1.29
1.9352,96.944,0,0,-1.64
1.4054,118.176,4,0,-0.43
4.3002,215.894,0,0.6,-4.57
2.5654,132.206,0,0.6,-4.37
4.3002,215.894,0,0.6,-4.63
3.6468,181.449,0,0.666666667,-4
2.61186,120.195,0,0.666666667,-3.2
4.7366,393.698,0,0.6,-6.98
4.3002,215.894,0,0.6,-5.56
2.92028,134.222,0,0.6,-4.59
3.9741,314.802,0,0.666666667,-4.5
3.6468,181.449,0,0.666666667,-3.59
2.61186,120.195,0,0.666666667,-3.31
1.0978,110.112,0,0.75,0.62
3.2116,235.906,0,0.75,-3.5
1.7762,187.862,1,0,-1.68
2.9934,147.004,0,0.75,-3.05
1.464,98.96,1,0,-1.06
1.8525,112.987,1,0,-1.6
2.6496,170.92,1,0,-2.74
1.0594,118.176,5,0,-0.77
2.8114,134.222,2,0.6,-3.28
1.503,168.108,2,0.5,-3.1
0.4051,58.08,0,0,-0.59
3.9741,314.802,0,0.666666667,-5.6
3.6468,181.449,0,0.666666667,-4.48
2.61186,120.195,0,0.666666667,-3.4
1.4112,213.105,3,0.4,-2.89
1.0978,110.112,0,0.75,0.81
1.3584,54.092,1,0,-1.87
3.2116,235.906,0,0.75,-3.54
2.9934,147.004,0,0.75,-3.04
1.8541,112.987,2,0,-1.62
0.4903,132.232,2,0,-1.46
1.9648,114.094,0,0.75,-2
3.45664,156.228,0,0.833333333,-4.29
1.503,168.108,2,0.5,-2.29
1.0978,110.112,0,0.75,-0.17
1.8926,80.13,0,0,-2.06
3.2116,235.906,0,0.75,-4.07
2.9934,147.004,0,0.75,-3.27
2.8114,134.222,2,0.6,-3.75
1.9648,114.094,0,0.75,-1.97
3.45664,156.228,0,0.833333333,-4.14
1.503,168.108,2,0.5,-3.39
1.7485,68.119,2,0,-2.09
3.45664,156.228,0,0.833333333,-4.679
2.1386,82.146,3,0,-2.68
2.783,180.21,0,1,-2.68
2.7441,154.253,0,0,-1.74
4.2693,302.458,0,0,-3.999
2.9702,194.237,0,0.933333333,-4.22
2.0373,137.02,1,0,-2.43
2.1814,137.02,2,0,-2.37
3.3517,179.101,5,0,-4.43
2.9616,165.074,4,0,-3.81
3.6023,207.07,0,0.909090909,-4.35
3.7418,193.128,6,0,-5.06
2.5715,151.047,3,0,-3.08
1.7913,122.993,1,0,-1.73
0.7788,74.123,2,0,0
1.5824,56.108,1,0,-1.94
1.0296,54.092,0,0,-1.24
1.6201,143.411,1,0,-1.32
1.8812,92.569,1,0,-2
2.0253,92.569,2,0,-2.03
3.1956,134.65,5,0,-4
2.8055,120.623,4,0,-3.12
3.4932,162.619,0,0.909090909,-3.93
2.4154,106.596,3,0,-2.73
1.6352,78.542,1,0,-1.47
3.1194,158.285,8,0,-3.63
3.923,140.27,7,0,-5.51
3.8996,186.339,10,0,-4.8
3.4022,156.228,1,0.833333333,-4.17
1.9491,116.204,5,0,-1.81
2.7527,98.189,4,0,-3.73
2.1999,96.173,3,0,-3.01
5.46,242.447,14,0,-7
1.559,102.177,4,0,-1.24
2.3626,84.162,3,0,-3.23
1.3334,100.161,3,0,-0.59
1.8098,82.146,2,0,-2.36
2.2215,184.02,2,0,-2.96
3.3918,226.101,5,0,-4.81
3.4444,254.07,0,0.909090909,-4.55
1.8314,169.993,1,0,-2.29
2.5067,96.173,0,0,-3.27
3.56622,180.25,0,0.857142857,-5.22
3.14822,142.201,0,0.909090909,-3.7
4.30142,192.261,0,0.933333333,-5.85
-0.9264,126.115,0,0.666666667,-0.807
2.5454,144.173,0,0.909090909,-2.22
2.422,143.189,0,0.909090909,-1.92
2.748,173.171,1,0.769230769,-3.54
0.6731,89.094,2,0,-0.8
2.7293,144.258,7,0,-3.01
3.5329,126.243,6,0,-5.05
2.9801,124.227,5,0,-4.24
6.2402,270.501,16,0,-8.4
2.3392,130.231,6,0,-2.39
3.1428,112.216,5,0,-4.44
2.59,110.2,4,0,-3.66
5.0699,228.42,13,0,-6.35
1.1689,88.15,3,0,-0.6
1.9725,70.135,2,0,-2.68
1.4197,68.119,1,0,-1.64
1.7399,122.167,1,0.666666667,-0.92
0.3887,60.096,1,0,0.62
4.6798,214.393,12,0,-5.84
9.8876,498.662,1,0.545454545,-11.6
8.5808,429.772,1,0.6,-9.16
7.274,360.882,1,0.666666667,-8.01
8.5808,429.772,1,0.6,-9.15
7.274,360.882,1,0.666666667,-8.6
5.9672,291.992,1,0.75,-7.28
7.9274,395.327,1,0.631578947,-7.92
7.9274,395.327,1,0.631578947,-8.94
7.274,360.882,1,0.666666667,-7.68
6.6206,326.437,1,0.705882353,-7.21
6.6206,326.437,1,0.705882353,-7.43
7.274,360.882,1,0.666666667,-7.42
5.9672,291.992,1,0.75,-6.47
2.6885,100.205,0,0,-4.36
7.274,360.882,1,0.666666667,-8.56
7.274,360.882,1,0.666666667,-8.71
5.9672,291.992,1,0.75,-6.57
6.6206,326.437,1,0.705882353,-7.32
3.0786,114.232,1,0,-4.74
3.4687,128.259,2,0,-5.05
5.9672,291.992,1,0.75,-7.39
1.4149,102.177,2,0,-1.04
2.4425,86.178,0,0,-3.55
2.8326,100.205,1,0,-4.36
1.805,116.204,3,0,-1.52
1.0248,88.15,0,0,-0.4
4.6604,223.102,1,0.857142857,-5.27
7.274,360.882,1,0.666666667,-7.82
7.9274,395.327,1,0.631578947,-7.66
7.274,360.882,1,0.666666667,-7.39
6.6206,326.437,1,0.705882353,-7.8
6.6206,326.437,1,0.705882353,-7.92
5.9672,291.992,1,0.75,-7.25
4.0058,231.893,0,0.545454545,-3.15
4.0058,231.893,0,0.545454545,-3.1
5.3138,257.547,1,0.8,-6.29
5.3138,257.547,1,0.8,-6.26
3.3524,197.448,0,0.6,-2.67
2.9345,114.232,2,0,-4.8
4.0058,231.893,0,0.545454545,-3.37
5.3138,257.547,1,0.8,-6.01
3.3524,197.448,0,0.6,-2.67
3.3524,197.448,0,0.6,-2.64
2.9016,192.001,1,0.545454545,-3.48
2.699,163.003,0,0.666666667,-1.3
2.1386,82.146,1,0,-2.4
2.2984,86.178,1,0,-3.65
3.45664,156.228,0,0.833333333,-4.72
2.6885,100.205,2,0,-4.28
1.69844,107.156,0,0.75,0.38
5.3138,257.547,1,0.8,-6.27
5.3138,257.547,1,0.8,-6.25
3.3524,197.448,0,0.6,-2.21
5.3138,257.547,1,0.8,-6.14
3.3524,197.448,0,0.6,-2.34
2.31746,136.194,0,0.6,-2.05
1.71962,227.132,3,0.375,-3.22
2.699,163.003,0,0.666666667,-1.55
1.8034,116.204,2,0,-0.92
1.6593,116.204,2,0,-1.22
1.8675,114.188,2,0,-1.3
2.6885,100.205,2,0,-4.26
2.00904,122.167,0,0.666666667,-1.19
1.69844,107.156,0,0.75,0.38
1.81142,182.135,2,0.461538462,-2.82
4.6604,223.102,1,0.857142857,-5.28
4.6604,223.102,1,0.857142857,-5.25
2.699,163.003,0,0.666666667,-1.79
3.45664,156.228,0,0.833333333,-4.89
2.00904,122.167,0,0.666666667,-1.29
1.69844,107.156,0,0.75,0.45
1.81142,182.135,2,0.461538462,-3
4.6604,223.102,1,0.857142857,-5.21
2.85164,157.216,0,0.833333333,-1.94
3.5752,193.249,0,0.933333333,-5.17
3.6023,207.07,0,0.909090909,-4.4
3.6023,207.07,0,0.909090909,-4.4
1.7897,122.993,0,0,-1.59
2.75752,171.037,0,0.75,-2.23
0.9854,72.107,1,0,0.52
0.7614,70.091,1,0,0.32
0.7954,118.176,5,0,-0.42
2.4138,106.596,1,0,-2.51
2.3486,142.585,1,0.666666667,-2.46
4.007,188.657,1,0.923076923,-4.54
2.0237,92.569,1,0,-1.96
3.4932,162.619,0,0.909090909,-4.14
2.0456,128.558,0,0.75,-1.06
1.6336,78.542,0,0,-1.41
2.64842,126.586,0,0.75,-3.52
-1.25912,84.082,0,0,-0.31
3.326,156.269,7,0,-3.3
1.644,107.156,1,0.75,0.51
1.4149,102.177,3,0,-1.17
2.1951,130.231,5,0,-2.11
2.3218,126.199,4,0,-2.46
1.6215,100.161,3,0,-1.52
2.4017,128.215,5,0,-2.13
3.4022,156.228,1,0.833333333,-4.29
2.55742,120.195,1,0.666666667,-3.21
1.9475,116.204,4,0,-1.55
2.1557,114.188,4,0,-1.45
1.5574,102.177,3,0,-0.89
1.7656,100.161,3,0,-0.8
0.1254,148.125,0,0.909090909,-1.947
0.7872,95.101,0,0.857142857,1.02
1.8298,169.993,0,0,-2.09
3.11842,134.222,1,0.6,-3.76
0.4284,162.152,1,0.833333333,-1.11
1.9725,70.135,0,0,-2.56
1.7485,68.119,1,0,-2.03
1.9725,70.135,1,0,-2.73
2.3626,84.162,2,0,-3.03
2.3376,130.231,4,0,-1.72
1.9475,116.204,3,0,-1.08
1.5574,102.177,2,0,-0.49
1.4133,102.177,2,0,-0.7
4.30142,192.261,0,0.933333333,-6.96
1.1673,88.15,1,0,0.15
2.0524,72.151,1,0,-3.18
1.0248,88.15,2,0,-0.47
3.2227,114.232,4,0,-5.08
3.14822,142.201,0,0.909090909,-3.77
2.4425,86.178,2,0,-3.74
1.4149,102.177,3,0,-1.11
4.30142,192.261,0,0.933333333,-5.84
1.70062,108.14,0,0.75,-0.62
0.6347,74.123,1,0,0.1
1.6623,58.124,0,0,-2.55
1.5824,56.108,0,0,-2.33
0.72822,146.153,0,0.909090909,-0.12
1.1853,86.134,0,0,0.11
2.5454,144.173,0,0.909090909,-2.28
0.6715,89.094,1,0,-0.62
2.7277,144.258,6,0,-2.74
2.9359,142.242,6,0,-2.58
2.3376,130.231,5,0,-2.09
2.5458,128.215,5,0,-2.05
1.1673,88.15,2,0,-0.29
1.3755,86.134,2,0,-0.19
1.0577,138.166,3,0.6,-0.7
0.3871,60.096,0,0,0.43
-0.1036,85.106,0,0,1.07
3.5079,172.312,8,0,-2.94
1.4149,102.177,1,0,-0.5
1.4133,102.177,0,0,-0.62
1.6215,100.161,0,0,-0.72
2.8326,100.205,2,0,-4.23
2.9016,192.001,1,0.545454545,-3.2
2.699,163.003,0,0.666666667,-1.25
2.00904,122.167,0,0.666666667,-1.38
1.69844,107.156,0,0.75,0.36
4.6604,223.102,1,0.857142857,-6.39
2.699,163.003,0,0.666666667,-1.34
2.00904,122.167,0,0.666666667,-1.4
1.69844,107.156,0,0.75,0.38
2.7828,352.39,6,0.461538462,-5.071
2.3486,142.585,1,0.666666667,-2.78
4.007,188.657,1,0.923076923,-4.88
2.0456,128.558,0,0.75,-0.7
1.13888,89.525,1,0,-0.29
2.0026,324.336,4,0.5,-4.47
1.9475,116.204,3,0,-0.85
1.9475,116.204,4,0,-1.47
3.9531,394.471,9,0.413793103,-6.301
1.5574,102.177,3,0,-0.8
1.7656,100.161,3,0,-0.83
3.563,380.444,8,0.428571429,-5.886
1.8098,82.146,0,0,-1.99
1.8284,70.135,1,0,-2.73
1.0232,88.15,1,0,-0.18
1.2314,86.134,1,0,-0.12
1.4149,102.177,3,0,-0.72
1.4149,102.177,3,0,-0.71
1.6215,100.161,2,0,-0.67
2.3376,130.231,4,0,-1.6
1.9475,116.204,3,0,-0.98
1.5574,102.177,2,0,-0.36
1.0248,88.15,2,0,-0.51
5.55322,268.359,0,0.857142857,-7.92
3.2227,114.232,4,0,-5.16
2.47632,131.178,0,0.9,-2.42
2.4425,86.178,2,0,-3.68
1.70062,108.14,0,0.75,-0.68
2.3376,130.231,5,0,-1.98
4.3432,408.498,10,0.4,-6.523
1.1673,88.15,2,0,-0.24
1.3755,86.134,2,0,-0.28
3.1729,366.417,7,0.444444444,-4.678
2.3927,338.363,5,0.48,-4.907
4.6604,223.102,1,0.857142857,-6.56
2.1547,173.009,0,0.75,-1.09
2.75752,171.037,0,0.75,-3.19
2.3486,142.585,1,0.666666667,-2.78
2.0456,128.558,0,0.75,-0.7
2.64842,126.586,0,0.75,-3.08
2.55742,120.195,1,0.666666667,-3.11
1.9475,116.204,4,0,-1.4
2.1557,114.188,4,0,-1.3
3.2206,194.274,5,0.428571429,-2.59
0.7872,95.101,0,0.857142857,1.02
3.11842,134.222,1,0.6,-3.77
0.4284,162.152,1,0.833333333,-1.11
1.4133,102.177,2,0,-0.8
1.6215,100.161,2,0,-0.74
3.66202,168.239,1,0.923076923,-4.62
1.4149,102.177,3,0,-1.14
0.72822,146.153,0,0.909090909,-0.466
1.5532,180.163,2,0.461538462,-2.692
0.9449,86.134,3,0,-0.15
1.1051,224.26,3,0,-2.253
1.3511,238.287,3,0,-2.593
0.491,208.217,4,0,-2.077
0.6508,212.249,2,0,-2.766
-0.6214,156.141,0,0,-1.742
2.271,148.205,0,0.545454545,-1.99
5.76304,256.348,0,0.9,-7.01
0.3249,196.206,3,0,-1.614
0.5709,210.233,3,0,-1.708
-0.0652,182.179,2,0,-1.16
0.8665,244.25,3,0.333333333,-2.369
1.185,226.276,4,0,-2.658
0.4048,198.222,2,0,-2.148
0.7004,232.239,2,0.352941176,-2.322
-0.7977,130.078,0,0.666666667,-1.077
1.9404,145.161,0,0.909090909,-2.54
-0.2313,170.168,1,0,-1.228
5.45462,242.321,0,0.947368421,-6.59
-0.33948,125.131,0,0.666666667,-1.458
2.9359,142.242,6,0,-2.58
4.7284,243.309,0,0.947368421,-6.2
1.9404,145.161,0,0.909090909,-2.16
0.4284,162.152,1,0.833333333,-1.139
5.45462,242.321,0,0.947368421,-6.57
5.76304,256.348,0,0.9,-7.02
0.4284,162.152,1,0.833333333,-0.91
0.72822,146.153,0,0.909090909,-0.854
1.9404,145.161,0,0.909090909,-2.42
4.60984,206.288,0,0.875,-6.57
3.6986,194.233,0,0.933333333,-4.73
4.30142,192.261,0,0.933333333,-5.89
5.63,466.479,10,0.444444444,-6.237
2.9384,154.212,0,0.833333333,-4.63
3.3236,152.196,0,0.833333333,-3.96
1.24,183.169,3,0,0.54
-0.5084,59.068,0,0,1.58
1.645,135.166,1,0.6,-1.33
-0.8561,222.251,2,0.384615385,-2.36
0.52988,41.053,0,0,0.26
1.8892,120.151,1,0.666666667,-1.28
1.94934,293.348,3,0.55,-3.59
3.388,179.222,0,1,-3.67
0.3713,56.064,1,0,0.57
0.69598,53.064,0,0,0.15
-0.0649,135.13,0,0.9,-2.12
3.2664,300.398,0,0,-3.48
2.9871,269.772,6,0.333333333,-3.26
1.8457,360.45,3,0,-3.85
5.2702,364.914,0,0,-6.307
-2.1798,158.117,1,0,-1.6
1.7553,162.279,5,0,-0.83
-0.3538,136.114,0,0.9,-2.266
-2.0785,142.07,0,0,-1.25
-4.8194,286.156,1,0,-1.99
0.0696,210.285,3,0.4,-3.364
1.8456,227.337,5,0.4,-3.04
-3.10802,457.432,7,0.1875,-0.77
1.77922,208.261,2,0.4,-2.36
1.55042,231.299,2,0.647058824,-0.364
0.7253,100.146,0,0.833333333,-0.36
4.87188,293.414,4,0.545454545,-5.47
-0.6131,84.082,0,0.833333333,0.522
1.185,226.276,4,0,-2.468
1.06662,203.245,1,0.733333333,-0.624
2.1311,256.305,4,0.631578947,-2.596
4.0874,286.415,0,0,-3.69
3.9591,290.447,0,0,-4.402
2.7283,148.205,2,0.545454545,-3.13
1.2688,93.129,0,0.857142857,-0.41
4.3319,367.86,7,0.285714286,-4.432
1.6952,108.14,1,0.75,-1.85
3.993,178.234,0,1,-6.35
2.462,208.216,0,0.75,-5.19
1.48442,188.23,1,0.785714286,0.715
2.06422,300.362,2,0.272727273,-3.538
5.5051,366.844,2,0.461538462,-5.931
1.1323,211.269,5,0.4,-2.084
1.7771,215.688,4,0.428571429,-3.85
2.0905,259.762,5,0.375,-1.716
4.102,182.226,2,0.857142857,-4.45
1.0537,223.165,5,0,0.651
3.1307,258.104,2,0.375,-4.37
0.1588,184.195,2,0,-2.4
1.6254,421.422,3,0.444444444,-3.59
4.1482,335.282,7,0.260869565,-5.53
4.0575,410.536,8,0.214285714,-4.71
3.5435,323.133,2,0.75,-4.21
2.5724,290.323,4,0.428571429,-4.883
3.7726,397.524,10,0.260869565,-4.2
1.4991,106.124,1,0.75,-1.19
0.7855,121.139,1,0.666666667,-0.96
1.6866,78.114,0,1,-1.64
2.7683,184.238,2,0.857142857,-2.55
1.1077,260.253,5,0.578947368,-2.81
4.411,216.283,0,0.941176471,-6.68
5.7372,252.316,0,1,-8.699
5.6404,252.316,0,1,-8.23
4.411,216.283,0,0.941176471,-8.04
5.7372,252.316,0,1,-7.8
5.6404,252.316,0,1,-8
5.6404,252.316,0,1,-8.49
6.3282,276.338,0,1,-9.018
1.4455,165.192,2,0.5,-2.616
2.6029,212.248,3,0.75,-2.85
1.55828,103.124,0,0.75,-1
2.9176,182.222,2,0.857142857,-3.12
2.2963,135.191,0,1,-1.5
0.9579,119.127,0,1,-0.78
1.8278,119.123,0,1,-1.16
2.4254,126.586,1,0.75,-2.39
2.7054,146.111,0,0.6,-2.51
0.8549,150.181,2,0.545454545,-0.95
3.6368,476.585,6,0,-4.71
3.4718,182.266,3,0.857142857,-4.62
3.3536,154.212,1,1,-4.345
4.45,256.308,1,1,-5.4
2.1935,154.253,0,0,-2.32
1.57852,261.119,2,0.428571429,-2.523
7.1837,527.414,6,0.8,-4.445
2.4491,157.01,0,0.857142857,-2.55
1.5776,129.384,0,0,-0.89
2.1425,163.829,0,0,-1.54
1.4012,108.966,0,0,-1.09
1.0111,94.939,0,0,-0.79
4.652,366,4,0.375,-6.09
4.3991,428.12,4,0.545454545,-4.93
2.78888,276.915,0,0.545454545,-3.33
1.5772,266.098,1,0.8,-3.127
1.74462,316.427,8,0.285714286,-4.16
0.7949,212.249,3,0,-2.39
3.9998,263.381,1,0.315789474,-4.24
4.1574,311.853,9,0.285714286,-4.19
1.6836,303.156,4,0,-2.647
2.2257,193.246,4,0.428571429,-3.082
0.7772,74.123,1,0,0.47
1.8064,58.124,1,0,-2.57
1.7163,90.191,2,0,-2.18
0.939,212.249,4,0,-1.661
1.0258,256.331,1,0.294117647,-1.877
2.8254,236.702,2,0.375,-3.9
0.9595,102.133,4,0,-1.37
3.4735,217.378,5,0,-3.68
3.0292,134.222,3,0.6,-4.06
0.9854,72.107,2,0,-0.01
-1.0293,194.194,0,0.642857143,-0.876
2.4017,152.237,0,0,-1.96
1.7656,100.161,4,0,-1.3
3.5209,349.066,3,0,-5.4
3.3306,212.252,2,0.75,-3.15
2.558,201.225,1,0.666666667,-3.224
3.3211,167.211,0,1,-5.27
1.7597,236.271,4,0.352941176,-1.83
2.1183,221.256,1,0.375,-2.8
5.4203,342.875,8,0.333333333,-5.736
2.62,235.308,2,0.375,-3.14
1.135,237.097,3,0,-2.68
2.82402,150.221,1,0.545454545,-2.08
2.4879,150.221,1,0,-2.06
-0.4629,309.529,2,0,-1.84
0.909,323.132,6,0.3,-2.111
2.2174,257.769,6,0.352941176,-4.411
3.1276,293.548,2,0.4,-3.924
2.9102,223.659,2,0.4,-2.617
5.6828,409.782,0,0,-6.86
5.0242,338.876,0,0,-5.64
2.86982,196.681,2,0.461538462,-2.86
1.1716,414.827,8,0.444444444,-4.576
-0.2895,93.513,1,0,-0.02
0.74878,75.498,0,0,-0.092
2.34,112.559,0,0.857142857,-2.38
2.2986,208.28,0,0,-1.9
1.2451,64.515,0,0,-1.06
1.3687,62.499,0,0,-1.75
3.2969,213.664,2,0.428571429,-3.38
1.5908,164.375,0,0,-2
4.1809,339.218,4,0.545454545,-4.53
4.04356,265.914,0,0.428571429,-5.64
-0.0609,295.729,1,0.352941176,-3.05
2.74192,212.68,1,0.428571429,-3.46
4.2258,290.75,3,0.6,-4.89
4.7181,350.591,6,0.333333333,-5.67
4.2434,267.93,0,0.714285714,-5.43
0.9242,338.772,2,0.545454545,-3.451
2.74192,212.68,1,0.428571429,-3.483
1.7745,169.567,0,0.818181818,-2.831
5.2448,254.332,0,0.9,-7.85
5.1462,228.294,0,1,-8.057
1.9352,96.944,0,0,-1.3
2.8326,112.216,0,0,-4.3
1.9725,70.135,1,0,-2.54
2.878,152.237,4,0,-2.06
2.64,239.702,2,0.375,-2.338
3.0377,315.716,2,0.545454545,-3.499
6.9192,300.36,0,1,-9.332
2.6667,346.467,2,0,-3.24
1.9898,360.45,2,0,-3.11
2.5606,402.487,3,0,-4.21
4.263,342.778,4,0.666666667,-5.839
4.43112,362.771,6,0.454545455,-5.382
3.9668,292.334,1,0.727272727,-2.84
1.67088,240.698,4,0.375,-3.15
3.5141,215.362,3,0,-3.4
1.2492,236.271,2,0,-2.17
-0.4773,168.152,0,0,-1.655
2.7307,98.189,0,0,-3.51
1.7015,114.188,0,0,-0.88
2.5067,96.173,0,0,-3.18
0.693,210.233,0,0,-3.168
2.3406,84.162,0,0,-3.1
1.3114,100.161,0,0,-0.44
1.5196,98.145,0,0,-0.6
2.1166,82.146,0,0,-2.59
1.0415,281.352,3,0,-1.13
0.3029,196.206,0,0,-3.06
3.1208,112.216,0,0,-4.15
2.0916,128.215,0,0,-1.29
1.0831,224.26,0,0,-2.982
1.9505,70.135,0,0,-2.64
1.7265,68.119,0,0,-2.1
-0.0872,182.179,0,0,-2.349
-0.8674,154.125,0,0,-1.886
2.3705,198.31,1,0,-2.218
6.31708,434.294,6,0.413793103,-7.337
6.54398,449.856,6,0.387096774,-8.176
6.17798,416.304,6,0.428571429,-8.017
-0.6479,111.104,0,0.75,-1.155
4.221,337.463,0,0.2,-5.507
1.6838,248.307,2,0.705882353,-3.094
5.929,320.046,3,0.666666667,-7.2
6.1879,318.03,2,0.666666667,-6.9
6.4955,354.491,2,0.631578947,-7.15
3.3668,138.254,0,0,-5.19
6.6944,314.522,12,0,-5.14
6.49018,505.206,6,0.428571429,-8.402
3.6959,330.468,2,0,-3.45
4.2667,372.505,3,0,-4.63
3.8659,300.314,4,0.545454545,-4.632
1.8957,392.467,2,0,-3.59
2.4665,434.504,3,0,-4.9
2.4017,152.237,0,0,-1.85
6.433,390.564,14,0.214285714,-6.96
3.8782,393.854,8,0.260869565,-6.34
3.8782,393.854,8,0.260869565,-6.34
4.2774,270.225,4,0,-4.286
3.1538,284.746,1,0.6,-3.754
3.58472,304.352,7,0.315789474,-3.64
3.586,168.195,0,1,-4.6
4.0545,184.263,0,1,-4.38
1.7337,173.835,0,0,-1.17
2.6032,130.231,6,0,-1.85
